id;company_name;description;note;company_logo;company_logo_content_type;company_logo_url;active
1;mobile Fish;Home Loan Account Table Computer;Trace;5461737479204d6574616c204261636f6e;image/png;red Chips Soap;false
2;Albania web-readiness;Namibia;Steel zero administration;677265792043616d6272696467657368697265;image/png;Canyon HDD;true
3;Centers;Factors;South Dakota envisioneer Music;426168616d69616e20446f6c6c617220496e766573746d656e74204163636f756e74;image/png;Games Regional Digitized;true
4;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;736b7920626c756520546173747920506c61737469632050697a7a61;image/png;compress South Georgia and the South Sandwich Islands;true
5;Specialist Home Loan Account;Plastic;Car Industrial deliverables;6d6167656e7461206d6f6e69746f72203130383070;image/png;Unbranded Plastic Tuna Frozen;true
6;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;73796e74686573697a6520496461686f20636f6d7072657373;image/png;Sleek Metal Table Small;false
7;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;4d6f6e6579204d61726b6574204163636f756e74;image/png;Salad Web virtual;true
8;RSS;mint green e-business EXE;back-end;73796e65726769657320636f7079696e67;image/png;ability Hat Iraq;false
9;Bahamian Dollar;24/7;Gloves sky blue Oklahoma;4578636c7573697665204d6f726f6363616e2044697268616d2063617264;image/png;zero tolerance;false
10;Personal Loan Account;paradigms Home;Investor Public-key;44657369676e65722050657273697374656e74;image/png;Handmade 24/7 Re-contextualized;true
