id;section_name;description;surcharge_percentage;surcharge_flat_amount;use_percentage
1;Generic B2B;olive;46369;38826;false
2;Indiana;holistic;25994;98621;false
3;Beauty dynamic schemas;Pound Sterling Keyboard;91092;7620;true
4;Group hard drive Personal Loan Account;Unbranded SCSI;55158;4521;false
5;portals;online Strategist Shirt;59413;74957;false
6;Assistant generating;Practical Steel Shirt Plastic Movies;7535;86472;true
7;Zimbabwe parse Customer;input Accounts;84964;37785;false
8;Falls;User-friendly;27473;60617;false
9;SMTP;Checking Account global Steel;67157;49816;true
10;transmit Gabon;connecting Planner Refined;79181;40348;true
